CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
GEO301;IV;PALEONTOLOGÍA GENERAL;00;3.0;2.0;5.0;4.0;EG105
MAT215;IV;ECUACIONES DIFERENCIALES;00;3.0;2.0;5.0;4.0;MAT209
GEO216;V;MINERALOGÍA ÓPTICA;00;3.0;2.0;5.0;4.0;HUM210
GEO217;V;GEOLOGÍA HISTÓRICA Y DEL PERÚ;00;3.0;2.0;5.0;4.0;GEO301
GEO218;V;PETROLOGÍA SEDIMENTARIA Y METAMÓRFICA;00;3.0;2.0;5.0;4.0;GEO213
GEO219;V;GEOLOGÍA ESTRUCTURAL I;00;3.0;2.0;5.0;4.0;GEO211
GEO220;V;TOPOGRAFÍA GEOLÓGICA II;00;3.0;2.0;5.0;4.0;GEO214
GEO302;V;HIDROGEOLOGÍA;00;3.0;2.0;5.0;4.0;GEO208
GEO221;VI;GEOQUÍMICA;00;3.0;2.0;5.0;4.0;EG101
GEO222;VI;TELEDETECCIÓN GEOLÓGICA;00;3.0;2.0;5.0;4.0;GEO220
GEO223;VI;EVALUACIÓN DE IMPACTO AMBIENTAL;00;2.0;2.0;4.0;3.0;NINGUNO
GEO224;VI;GEOFÍSICA;00;2.0;2.0;4.0;3.0;NINGUNO
GEO225;VI;GEOTECTÓNICA;00;3.0;2.0;5.0;4.0;GEO219
GEO303;VI;GEOLOGÍA DE RECURSOS ENERGÉTICOS;00;3.0;2.0;5.0;4.0;GEO302
GEO304;VI;GEOMECÁNICA DE SUELOS;00;3.0;2.0;5.0;4.0;GEO212
GEO305;VII;GEOLOGÍA DE YACIMIENTOS NO METÁLICOS;00;3.0;2.0;5.0;4.0;GEO218
GEO306;VII;ALTERACIONES HIDROTERMALES;00;2.0;2.0;4.0;3.0;GEO221
GEO307;VII;GEOMECÁNICA DE ROCAS;00;3.0;2.0;5.0;4.0;GEO304
GEO308;VII;PETROGRAFÍA;00;3.0;2.0;5.0;3.0;GEO216
GEO309;VII;SEGURIDAD Y SALUD EN EL TRABAJO;00;3.0;2.0;5.0;4.0;EG102
GEO310;VII;GEOLOGÍA AMBIENTAL;00;2.0;2.0;4.0;3.0;GEO217
GEO311;VII;GEOLOGÍA ESTRUCTURAL II;00;2.0;2.0;4.0;3.0;NINGUNO
GEO312;VII;VULCANOLOGÍA;00;2.0;2.0;4.0;3.0;NINGUNO
GEO313;VIII;GEOLOGÍA DE YACIMIENTOS MINERALES METÁLICOS;00;3.0;2.0;5.0;4.0;GEO306
GEO314;VIII;GEOMETALÚRGIA;00;2.0;2.0;4.0;3.0;GEO308
GEO315;VIII;GEOMATERIALES PARA LA CONSTRUCCIÓN;00;2.0;2.0;4.0;3.0;GEO307
GEO316;VIII;CARACTERIZACIÓN GEOTÉCNICA;00;2.0;2.0;4.0;3.0;GEO222
GEO317;VIII;GEOLOGÍA DE CAMPO I;00;2.0;2.0;4.0;3.0;GEO310
GEO318;VIII;GESTIÓN DE PROYECTOS GEOLÓGICOS;00;3.0;2.0;5.0;4.0;EG104
GEO319;VIII;SEGURIDAD EN OBRAS CIVILES;00;2.0;2.0;4.0;3.0;NINGUNO
GEO320;VIII;GEOESTADÍSTICA APLICADA;00;2.0;2.0;4.0;3.0;NINGUNO
GEO321;IX;PROSPECCIÓN GEOQUÍMICA;00;2.0;2.0;4.0;3.0;GEO314
GEO322;IX;MODELAMIENTO GEOLÓGICO;00;2.0;2.0;4.0;3.0;GEO317
GEO323;IX;GEOLOGÍA DE CAMPO II;00;2.0;2.0;4.0;3.0;GEO318
GEO324;IX;GEOLOGÍA DE MINAS;00;3.0;2.0;5.0;4.0;GEO313
GEO325;IX;GEOTECNIA I;00;3.0;2.0;5.0;4.0;GEO315
GEO326;IX;INVESTIGACIÓN GEOLÓGICA;00;2.0;2.0;4.0;3.0;GEO316
GEO327;IX;PROSPECCIÓN GEOFÍSICA;00;2.0;2.0;4.0;3.0;NINGUNO
GEO328;IX;GEOLOGÍA DEL PETRÓLEO;00;2.0;2.0;4.0;3.0;NINGUNO
GEO329;X;METALOGÉNESIS;00;2.0;2.0;4.0;3.0;GEO324
GEO330;X;PERFORACIONES Y LOGUEO;00;2.0;2.0;4.0;3.0;GEO323
GEO331;X;GEOTECNIA II;00;3.0;2.0;5.0;4.0;GEO325
GEO332;X;RIESGO GEOLÓGICO;00;3.0;2.0;5.0;4.0;GEO322
GEO333;X;SISTEMAS INTEGRADOS DE GESTIÓN;00;2.0;2.0;4.0;3.0;GEO309
GEO334;X;PRÁCTICAS PREPROFESIONALES;00;2.0;2.0;4.0;3.0;GEO326
GEO336;X;PATRIMONIO GEOLÓGICO Y GEOTURISMO;00;2.0;2.0;4.0;3.0;NINGUNO
MIN335;X;EXPLOTACIÓN DE MINAS;00;2.0;2.0;4.0;3.0;NINGUNO
