CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
SIS210;IV;ALGORITMOS Y ESTRUCTURAS DE DATOS;00;4.0;2.0;6.0;5.0;SIS206
SIS211;IV;TEORÍA DE LA COMPUTACIÓN;00;2.0;2.0;4.0;3.0;SIS204
SIS303;IV;BASE DE DATOS I;00;2.0;2.0;4.0;3.0;SIS204
SIS304;IV;DESARROLLO BASADO EN PLATAFORMAS II;00;2.0;2.0;4.0;3.0;SIS302
SIS305;IV;ARQUITECTURA DE COMPUTADORAS;00;2.0;2.0;4.0;3.0;SIS301
SIS214;V;ANÁLISIS Y DISEÑO DE ALGORITMOS;00;4.0;2.0;6.0;5.0;SIS210
SIS215;V;SISTEMAS OPERATIVOS;00;2.0;2.0;4.0;3.0;SIS305
SIS216;V;COMPILADORES;00;2.0;2.0;4.0;3.0;SIS211
SIS217;V;MÉTODOS NUMÉRICOS;00;4.0;0.0;4.0;4.0;EG103
SIS306;V;BASE DE DATOS II;00;2.0;2.0;4.0;3.0;SIS303
SIS307;V;INGENIERÍA DE SOFTWARE;00;2.0;2.0;4.0;3.0;SIS303
SOC218;V;IDEOLOGÍAS CONTEMPORÁNEAS;00;2.0;2.0;4.0;3.0;NINGUNO
SIS219;VI;PROGRAMACIÓN COMPETITIVA;00;2.0;2.0;4.0;3.0;SIS214
SIS220;VI;ESTRUCTURAS DE DATOS AVANZADAS;00;4.0;2.0;6.0;5.0;SIS214
SIS221;VI;INVESTIGACIÓN DE OPERACIONES;00;4.0;0.0;4.0;4.0;NINGUNO
SIS222;VI;INGENIERÍA DE PROCESOS;00;2.0;2.0;4.0;3.0;NINGUNO
SIS223;VI;TEORÍA Y CIENCIA DE SISTEMAS;00;2.0;2.0;4.0;3.0;SIS202
SIS308;VI;SISTEMAS DE COMUNICACIÓN DE DATOS;00;2.0;2.0;4.0;3.0;SIS215
SIS309;VI;SISTEMAS DE INFORMACIÓN;00;2.0;2.0;4.0;3.0;SIS303
SIS224;VII;LENGUAJES DE PROGRAMACIÓN;00;4.0;0.0;4.0;4.0;SIS211
SIS225;VII;COMPUTACIÓN PARALELA Y DISTRIBUIDA;00;2.0;2.0;4.0;3.0;SIS214, SIS308
SIS226;VII;COMPUTACIÓN GRÁFICA;00;2.0;2.0;4.0;3.0;SIS220
SIS227;VII;PROGRAMACIÓN DE VÍDEO JUEGOS;00;2.0;2.0;4.0;3.0;SIS214
SIS310;VII;INTERACCIÓN HUMANO COMPUTADOR;00;2.0;2.0;4.0;3.0;SIS309
SIS311;VII;INTELIGENCIA ARTIFICIAL;00;4.0;2.0;6.0;5.0;SIS220
SIS312;VII;"ADMINISTRACIÓN DE SISTEMAS DE COMUNICACIÓN DE
DATOS";00;2.0;2.0;4.0;3.0;SIS308
SIS228;VIII;FORMACIÓN DE EMPRESAS DE BASE TECNOLÓGICA;00;2.0;2.0;4.0;3.0;EG104
SIS229;VIII;FORMULACIÓN Y GESTIÓN DE PROYECTOS;00;2.0;2.0;4.0;3.0;NINGUNO
SIS230;VIII;MODELADO SISTÉMICO Y SIMULACIÓN;00;2.0;2.0;4.0;3.0;SIS223
SIS231;VIII;INVESTIGACIÓN EN INGENIERÍA DE SISTEMAS;00;4.0;0.0;4.0;4.0;NINGUNO
SIS313;VIII;SEGURIDAD EN SISTEMAS INFORMÁTICOS;00;2.0;2.0;4.0;3.0;NINGUNO
SIS314;VIII;INTERNET DE LAS COSAS;00;2.0;2.0;4.0;3.0;NINGUNO
SIS315;VIII;REDES NEURONALES;00;4.0;2.0;6.0;5.0;SIS311
SIS232;IX;PROYECTO DE TESIS EN INGENIERÍA DE SISTEMAS;00;4.0;0.0;4.0;4.0;SIS231
SIS316;IX;AUDITORÍA EN SISTEMAS COMPUTACIONALES;00;4.0;2.0;6.0;5.0;SIS313
SIS317;IX;TÓPICOS EN CIBERSEGURIDAD I;00;4.0;2.0;6.0;5.0;NINGUNO
SIS318;IX;TÓPICOS EN SISTEMAS DE INFORMACIÓN I;00;4.0;2.0;6.0;5.0;NINGUNO
SIS319;IX;APRENDIZAJE PROFUNDO;00;2.0;2.0;4.0;3.0;SIS315
SIS320;IX;APRENDIZAJE DE MAQUINA;00;2.0;2.0;4.0;3.0;SIS315
SIS321;IX;PROCESAMIENTO DE LENGUAJE NATURAL;00;2.0;2.0;4.0;3.0;SIS315
SIS322;IX;CIENCIA DE DATOS;00;2.0;2.0;4.0;3.0;NINGUNO
SIS323;IX;ANÁLISIS DE DATOS;00;2.0;2.0;4.0;3.0;NINGUNO
SIS233;X;TESIS UNIVERSITARIA;00;2.0;2.0;4.0;3.0;SIS232
SIS234;X;PRÁCTICA PRE-PROFESIONAL;00;0.0;4.0;4.0;2.0;NINGUNO
SIS324;X;"ARQUITECTURA DE LA CIBERSEGURIDAD Y PROTECCIÓN DE
LA INFRAESTRUCTURA CRÍTICA";00;4.0;0.0;4.0;4.0;NINGUNO
SIS325;X;TOPICOS EN CIBERSEGURIDAD II;00;4.0;0.0;4.0;4.0;NINGUNO
SIS326;X;TOPICOS EN SISTEMAS DE INFORMACIÓN II;00;4.0;0.0;4.0;4.0;NINGUNO
SIS327;X;SISTEMAS DE RECOMENDACIÓN;00;4.0;0.0;4.0;4.0;SIS322
SIS328;X;VISUALIZACIÓN DE DATOS;00;2.0;2.0;4.0;3.0;SIS322
SIS329;X;VISIÓN ARTIFICIAL;00;4.0;2.0;6.0;5.0;SIS320
SIS330;X;ROBÓTICA;00;2.0;2.0;4.0;3.0;SIS320
