CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
NUT213;IV;NUTRICIÓN Y MACRONUTRIENTES;00;4.0;2.0;6.0;5.0;NUT202
NUT214;IV;"POLÍTICAS PÚBLICAS Y PROGRAMAS ALIMENTARIO
NUTRICIONALES";00;3.0;2.0;5.0;4.0;NINGUNO
NUT215;IV;BIOESTADÍSTICA APLICADA;00;3.0;2.0;5.0;4.0;NUT210
NUT216;V;SEMIOLOGÍA Y FISIOPATOLOGÍA DE LA NUTRICIÓN;00;3.0;2.0;5.0;4.0;NUT212
NUT217;V;NUTRICIÓN EN EL CRECIMIENTO Y DESARROLLO;00;3.0;2.0;5.0;4.0;NINGUNO
NUT218;V;"LABORATORIO DE BIOQUÍMICA Y ANÁLISIS DE LOS
ALIMENTOS";00;3.0;2.0;5.0;4.0;NINGUNO
NUT219;V;SISTEMAS Y SOBERANÍA ALIMENTARIA;00;3.0;2.0;5.0;4.0;NINGUNO
NUT220;V;TALLER DE NUTRICIÓN Y ACTIVIDAD FÍSICA;00;3.0;2.0;5.0;4.0;NINGUNO
NUT221;V;NUTRICIÓN Y MICRONUTRIENTES;00;3.0;2.0;5.0;4.0;NUT213
NUT222;VI;"PLANIFICACIÓN EN PROGRAMAS DE ALIMENTACIÓN,
NUTRICIÓN Y SALUD";00;3.0;2.0;5.0;4.0;NUT214
NUT223;VI;EPIDEMIOLOGÍA APLICADA;00;3.0;2.0;5.0;4.0;NUT215
NUT301;VI;EVALUACIÓN NUTRICIONAL;00;3.0;2.0;5.0;4.0;NUT217
NUT302;VI;HIGIENE Y CALIDAD DE LOS ALIMENTOS;00;3.0;2.0;5.0;4.0;NUT218
NUT303;VI;TALLER DE TÉCNICAS DE COMUNICACIÓN EN ALIMENTACIÓN Y SALUD;00;3.0;2.0;5.0;4.0;NUT221
NUT304;VI;GESTIÓN DE LA CALIDAD ALIMENTARIA ;00;3.0;2.0;5.0;4.0;NUT219
NUT305;VI;FORMULACIÓN Y EVALUACIÓN PROYECTOS DE INVERSIÓN EN SALUD ;00;3.0;2.0;5.0;4.0;NINGUNO
NUT306;VI;ÉTICA PROFESIONAL ;00;3.0;2.0;5.0;4.0;NINGUNO
NUT307;VII;DIETOTERAPIA DEL ADULTO;00;3.0;2.0;5.0;4.0;NUT216
NUT308;VII;SOPORTE NUTRICIONAL;00;3.0;2.0;5.0;4.0;NINGUNO
NUT309;VII;TECNOLOGÍA DE LOS ALIMENTOS;00;3.0;2.0;5.0;4.0;NUT302
NUT310;VII;PROMOCIÓN DE LA SALUD;00;3.0;2.0;5.0;4.0;NINGUNO
NUT311;VII;GESTIÓN DE SERVICIOS DE ALIMENTACIÓN Y NUTRICIÓN;00;3.0;2.0;5.0;4.0;NUT222
NUT312;VII;TALLER DE PROYECTOS DE INVESTIGACIÓN;00;3.0;2.0;5.0;4.0;NUT223
NUT224;VIII;ATENCIÓN EN URGENCIAS Y EMERGENCIAS EN SALUD;00;2.0;2.0;4.0;3.0;NUT216
NUT225;VIII;INFORME Y ARTÍCULO DE INVESTIGACIÓN;00;2.0;2.0;4.0;3.0;NUT312
NUT313;VIII;DIETOTERAPIA DEL NIÑO;00;3.0;2.0;5.0;4.0;NUT307
NUT314;VIII;TALLER DE EVALUACIÓN NUTRICIONAL;00;2.0;2.0;4.0;3.0;NUT301
NUT315;VIII;EDUCACIÓN EN ALIMENTACIÓN, NUTRICIÓN Y SALUD;00;3.0;2.0;5.0;4.0;NUT303
NUT316;VIII;GERENCIA PÚBLICA EN PROGRAMAS Y PROYECTOS DE NUTRICIÓN Y SALUD;00;2.0;2.0;4.0;3.0;NUT311
NUT317;VIII;ALIMENTOS FUNCIONALES Y NUTRACÉUTICOS;00;2.0;2.0;4.0;3.0;NUT309
NUT318;VIII;NUTRICIÓN Y MEDICINA ALTERNATIVA Y COMPLEMENTARIA;00;2.0;2.0;4.0;3.0;NUT310
NUT319;VIII;FARMACOLOGÍA APLICADA A LA NUTRICIÓN;00;2.0;2.0;4.0;3.0;NUT308
NUT320;IX;INTERNADO DE NUTRICIÓN CLÍNICA;00;0.0;48.0;48.0;24.0;190.00
NUT321;X;INTERNADO DE NUTRICIÓN COMUNITARIA Y PROMOCIÓN DE LA SALUD;00;0.0;48.0;48.0;24.0;214.00
