CODIGO;CICLO;CURSO;ESP;HT;HP;TH;CRD;REQUE
MVZ2018;V;Patología Veterinaria General;00;3.0;2.0;5.0;4.0;MVZ212
MVZ2019;V;Tópicos en Salud Pública;00;2.0;2.0;4.0;3.0;NINGUNO
MVZ217;V;Diagnóstico Clínico Veterinario I;00;2.0;2.0;4.0;3.0;4.00
MVZ220;V;Metodología de la Investigación;00;3.0;0.0;3.0;3.0;MVZ216
MVZ221;V;Enfermedades Infecciosas;00;2.0;2.0;4.0;3.0;MVZ214
MVZ222;V;Genética;00;2.0;2.0;4.0;3.0;MVZ215
MVZ301;V;Tecnología de Fibras y Pieles Animales;00;2.0;2.0;4.0;3.0;MVZ201
MVZ302;V;Proyectos Empresariales I;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ223;VI;Farmacología y Terapéutica Veterinaria I;00;3.0;2.0;5.0;4.0;MVZ212
MVZ224;VI;Patología Clínica;00;2.0;2.0;4.0;3.0;MVZ217
MVZ225;VI;Diagnóstico Clínico Veterinario II;00;2.0;2.0;4.0;3.0;MVZ217
MVZ226;VI;Nutrición Animal Aplicada;00;3.0;2.0;5.0;4.0;MVZ206
MVZ227;VI;Marketing;00;1.0;2.0;3.0;2.0;MVZ302
MVZ228;VI;Estadística No Paramétrica;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ303;VI;Mejoramiento Genético;00;2.0;2.0;4.0;3.0;MVZ222
MVZ304;VI;Planes de Inocuidad Alimentaria;00;2.0;2.0;4.0;3.0;MVZ201
MVZ229;VII;Patología Veterinaria Especial;00;3.0;2.0;5.0;4.0;MVZ2018
MVZ230;VII;Farmacología y Terapéutica Veterinaria II;00;3.0;2.0;5.0;4.0;MVZ223
MVZ231;VII;Inglés Técnico;00;2.0;0.0;2.0;2.0;NINGUNO
MVZ305;VII;Cirugía Veterinaria I;00;1.0;4.0;5.0;3.0;MVZ225
MVZ306;VII;Alimentación Animal;00;3.0;2.0;5.0;4.0;MVZ226
MVZ307;VII;Procesamiento de Productos Cárnicos;00;2.0;2.0;4.0;3.0;MVZ304
MVZ308;VII;Proyectos Empresariales II;00;2.0;2.0;4.0;3.0;MVZ227
MVZ309;VIII;Cirugía Veterinaria II;00;1.0;4.0;5.0;3.0;MVZ305
MVZ310;VIII;Enfermedades Parasitarias;00;2.0;2.0;4.0;3.0;MVZ213
MVZ311;VIII;Medicina Interna I;00;3.0;2.0;5.0;4.0;MVZ225
MVZ312;VIII;Reproducción Animal;00;2.0;2.0;4.0;3.0;MVZ215
MVZ313;VIII;Producción de Cuyes y Conejos;00;2.0;2.0;4.0;3.0;MVZ306
MVZ314;VIII;Producción Avícola;00;2.0;2.0;4.0;3.0;MVZ306
MVZ315;VIII;Prácticas Pre-profesionales I;00;1.0;4.0;5.0;3.0;MVZ305
MVZ330;VIII;Zoonosis y Enfermedades Transmisibles;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ331;VIII;Truchicultura;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ332;VIII;Anestesiología;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ333;VIII;Animales de Compañía;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ334;VIII;Inmunología;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ335;VIII;Bromatología;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ336;VIII;Imagenología;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ337;VIII;Enfermedades de Aves;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ232;IX;Producción de Manejo de Pastos y Forrajes;00;2.0;2.0;4.0;3.0;MVZ312
MVZ317;IX;Biotecnología de la Reproducción Animal;00;2.0;2.0;4.0;3.0;MVZ312
MVZ318;IX;Procesamiento de Productos Lácteos;00;2.0;2.0;4.0;3.0;MVZ304
MVZ319;IX;Medicina Interna II;00;3.0;2.0;5.0;4.0;MVZ311
MVZ320;IX;Prácticas Pre-profesionales II;00;1.0;4.0;5.0;3.0;MVZ315
MVZ321;IX;Producción de Ovinos;00;2.0;2.0;4.0;3.0;MVZ306
MVZ322;IX;Producción de Porcinos;00;2.0;2.0;4.0;3.0;MVZ306
MVZ338;IX;Ganadería Tropical;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ339;IX;Juzgamiento de Ganado;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ340;IX;Producción de Ganado de Leche;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ341;IX;Producción de Ganado de Carne;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ323;X;Taller de Investigación Aplicada;00;2.0;2.0;4.0;3.0;MVZ220
MVZ324;X;Epidemiología Veterinaria;00;2.0;2.0;4.0;3.0;MVZ310
MVZ325;X;Gestión de Empresas;00;2.0;2.0;4.0;3.0;MVZ308
MVZ326;X;Producción de Camélidos Sudamericanos Domésticos;00;2.0;2.0;4.0;3.0;MVZ306
MVZ327;X;Ginecología y Obstetricia Veterinaria;00;1.0;4.0;5.0;3.0;MVZ315
MVZ328;X;Producción de Bovinos;00;2.0;2.0;4.0;3.0;MVZ306
MVZ329;X;Prácticas Pre-profesionales III;00;2.0;4.0;6.0;4.0;MVZ320
MVZ342;X;Nutrición y Alimentación de Rumiantes;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ343;X;Relaciones Sociales y Extensión Rural;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ344;X;Nutrición y Alimentación de no Rumiantes;00;1.0;2.0;3.0;2.0;NINGUNO
MVZ345;X;Producción y Enfermedades de Equinos;00;1.0;2.0;3.0;2.0;NINGUNO
