N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
;8;VIII;CLINICA DE IMAGENOLOGIA II;0;0;3;6;6;3;41
46;9;IX;CLINICA DE ENDODONCIA;0;0;3;6;6;3;41
47;9;IX;CIRUGIA MAXILO FACIAL;0;2;2;4;6;4;42
48;9;IX;CLINICA DE PROTESIS DENTAL FIJA;0;0;3;6;6;3;NINGUNO
49;9;IX;CLINICA DE PROTESIS REMOVIBLE PARCIAL;0;0;3;6;6;3;NINGUNO
;9;IX;CLINICA DE PROTESIS REMOVIBLE TOTAL;;0;3;6;6;3;54
;9;IX;CLINICA ODONTOPEDIATRICA;;0;3;6;6;3;
;9;IX;INGLES TECNICO;;2;1;2;4;3;
;10;X;SALUD PUBLICA Y COMUNITARIA;;3;1;2;5;4;
;10;X;CLINICA INTEGRAL DEL NIÑO;;0;4;8;8;4;
;10;X;CLINICA INTEGRAL DEL ADULTO;;0;4;8;8;4;
;10;X;GERENCIA Y ADMINISTRACION EN SALUD;;2;1;2;4;3;
;10;X;ODONTOLOGIA LEGAL Y FORENCE;;2;1;2;4;3;
;10;X;DESARROLLO DE LA INVESTIGACION Y ELABORACIÓN DEL INFORME FINAL;;2;2;4;6;4;
;10;X;IDIOMA NATIVO (QUECHUA, AYMARA);;2;0;0;2;2;
;11;XI;INTERNADO HOSPITALARIO O RURAL;;2;22;44;46;24;
;12;XII;INTERNADO RURAL U HOSPITALARIO;;2;22;44;46;24;
;12;XII;TRABAJO DE INVESTIGACIÓN;;1;1;2;3;2;
