N;CODIGO;CICLO;CURSO;ESP;HT;a;HP;TH;CRD;REQUE
;;VIII;TRUCHICULTURA;;1;1;2;3;2;
;8;VIII;INMUNOLOGIA;;1;1;2;3;2;
;9;IX;TALLER DE INVESTIGACIÓN APLICADA;;0;1;2;2;1;
;9;IX;EPIDEMIOLOGIA VETERINARIA;;2;1;2;4;3;
;9;IX;PROCESAMIENTO DE LECHE Y DERIVADOS LACTEOS;;2;1;2;4;3;
;9;IX;MEDICINA INTERNA II;;3;1;2;5;4;
;9;IX;GINECOLOGIA Y OBSTETRICIA VETERINARIA;;2;1;2;4;3;
;9;IX;BIOTECNOLOGIA DE LA REPRODUCCIÓN;;1;1;2;3;2;
;9;IX;CONSTRUCCIONES RURALES;;1;1;2;3;2;
;9;IX;PRODUCCION Y MANEJO DE PASTOS Y FORRAJES;;2;1;2;4;3;
;;IX;NUTRICION Y ALIMENTACION DE MONOGASTRICOS;;1;1;2;3;2;
;;IX;SOCIOLOGIA RURAL;;1;1;2;3;2;
;;IX;GANADERIA TROPICAL;;1;1;2;3;2;
;9;IX;EXTENSION RURAL;;1;1;2;3;2;
;10;X;PRODUCCIÓN DE CAMELIDOS SUDAMERICANOS DOMESTICOS;;3;1;2;5;4;
;10;X;PRODUCCION DE PORCINOS;;2;1;2;4;3;
;10;X;PRODUCCION DE OVINOS;;3;1;2;5;4;
;10;X;PRODUCCIÓN DE BOVINOS;;3;1;2;5;4;
;10;X;GESTION Y ADMINISTRACIÓN DE EMPRESAS AGROPECUARIAS;;2;1;2;4;3;
;10;X;TALLER DE TRATAMIENTO MEDICO-QUIRURGICO;;0;1;2;2;1;
;10;X;TALLER DE PREVISION SOCIAL Y SALUD PUBLICA;;0;1;2;2;1;
;;X;JUZGAMIENTO DE GANADO;;1;1;2;3;2;
;;X;PRODUCCIÓN Y ENFERMEDADES DE EQUINOS;;1;1;2;3;2;
;;X;PRODUCCIÓN DE GANADO LECHERO;;1;1;2;3;2;
;;X;NUTRICION Y ALIMENTACIÓN DE POLIGASTRICOS;;1;1;2;3;2;
;10;X;PRACTICAS PRE PROFESIONALES;;0;5;10;10;5;
;;X;TRABAJO DE INVESTIGACIÓN;;1;1;2;3;2;
