N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;;
47;;VII;DERECHO PENAL GENERAL II;0;3;1;2;5;4;Null;;;
48;;VII;DERECHO PROCESAL PENAL I;0;3;1;2;5;4;Null;;;
49;;VII;DERECHO LABORAL INDIVIDUAL;0;3;1;2;5;4;Null;;;
50;;VII;PLURALISMO JURÍDICO SOCIAL;0;3;1;2;5;4;Null;;;
51;;VIII;DERECHO PROCESAL CONSTITUCIONAL I;0;2;1;2;4;3;Null;;;
52;;VIII;DERECHO CIVIL IV: OBLIGACIONES.;0;3;1;2;5;4;Null;;;
53;;VIII;DERECHO PROCESAL CIVIL III;0;3;1;2;5;4;Null;;;
54;;VIII;DERECHO PENAL ESPECIAL I;0;3;0;0;3;3;Null;;;
55;;VIII;DERECHO PROCESAL PENAL II;0;3;1;2;5;4;Null;;;
56;;VIII;DERECHO NOTARIAL;0;2;1;2;4;3;Null;;;
57;;VIII;DERECHO ADMINISTRATIVO I;0;2;1;2;4;3;Null;;;
58;;IX;DERECHO PROCESAL CONSTITUCIONAL II;0;2;1;2;4;3;Null;;;
59;;IX;DERECHO CIVIL V: DERECHO DE CONTRATOS;0;2;1;2;4;3;Null;;;
60;;IX;DERECHO PENAL ESPECIA LI;0;3;0;0;3;3;Null;;;
61;;IX;DERECHO PROCESAL PENAL III;0;3;1;2;5;4;Null;;;
62;;IX;DERECHO REGISTRAL;0;2;1;2;4;3;Null;;;
63;;IX;DERECHO ADMINISTRATIVO II;0;2;1;2;4;3;Null;;;
64;;IX;GOBIERNO DIGITAL Y DERECHO INFORMÁTICO;0;2;0;0;2;2;Null;;;
65;;IX;ORATORIA JURÍDICA;0;2;1;2;4;3;Null;;;
66;;X;DERECHO CIVIL VI: DERECHO DE DAÑOS;0;3;1;2;5;4;Null;;;
67;;X;DERECHO PENAL ESPECIAL LII;0;3;0;0;3;3;Null;;;
68;;X;DERECHO PROCESAL PENAL IV;0;3;1;2;5;4;Null;;;
69;;X;DERECHO PROCESAL LABORAL;0;3;1;2;5;4;Null;;;
70;;X;INVESTIGACIÓN JURÍDICA I: PROYECTO;0;3;1;2;5;4;Null;;;
71;;X;TALLER DE REDACCIÓN FORENSE Y LITIGACIÓN ESTRATÉGICA.;0;2;1;2;4;3;Null;;;
72;;X;PRÁCTICA PREPROFESIONAL EXTERNA I;0;1;1;2;3;2;Null;;;
73;;XI;DERECHO INTERNACIONAL PÚBLICO Y PRIVADO;0;2;1;2;4;3;Null;;;
74;;XI;DERECHO CIVIL VII: DERECHO DE FAMILIA;0;3;1;2;5;4;Null;;;
75;;XI;DERECHO DE LOS NIÑOS, ADOLESCENTES Y ADULTO MAYOR.;0;3;0;0;3;3;Null;;;
76;;XI;DERECHO PROCESAL PENAL V;0;3;1;2;5;4;Null;;;
77;;XI;DERECHO TRIBUTARIO I;0;2;1;2;4;3;Null;;;
78;;XI;DERECHO PROCESAL ADMINISTRATIVO;0;3;1;2;5;4;Null;;;
79;;XI;"CONTRATACIONES DEL ESTADO(E)/
JURISPRUDENCIA PENAL(E)/
EJECUCIÓN PENAL(E)/
CLÍNICA JURÍDICA(E)/
DERECHO PENAL MILITAR POLICIAL(E)/
DERECHO PREVISIONAL(E)/
DERECHO ADUANERO(E)/
MECANISMOS DE CONTROL(E)/";0;2;1;2;4;3;Null;;;
80;;XII;DEONTOLOGÍA JURÍDICA Y ÉTICA PROFESIONAL;0;2;0;0;2;2;Null;;;
81;;XII;DERECHO CIVIL VIII: DERECHO DE SUCESIONES;0;3;1;2;5;4;Null;;;
82;;XII;DERECHO PROCESAL PENAL VI;0;3;1;2;5;4;Null;;;
83;;XII;DERECHO TRIBUTARIO II;0;2;1;2;4;3;Null;;;
84;;XII;DERECHO MINERO E HIDROCARBUROS.;0;2;0;0;2;2;Null;;;
85;;XII;DERECHO CONTENCIOSO ADMINISTRATIVO;0;2;1;2;4;3;Null;;;
86;;XII;INVESTIGACIÓN JURÍDICA II: INFORME DE TESIS;0;3;1;2;5;4;Null;;;
87;;XII;PRÁCTICA PREPROFESIONAL EXTERNA II;0;1;1;2;3;2;Null;;;
