N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE
51;;VIII;PROYECTO DE INVESTIGACIÓN;0;3;1;2;5;4;Null
52;;IX;EDUCACIÓN FINANCIERA;0;1;1;2;3;2;Null
53;;IX;HISTORIA DE LA REPÚBLICA CONTEMPORÁNEA;0;2;1;2;4;3;Null
54;;IX;HISTORIA REGIONAL;0;2;1;2;4;3;Null
55;;IX;PRACTICA DE UNIDADES DIDÁCTICAS II;0;0;3;6;6;3;Null
56;;IX;GERENCIA DE PROYECTOS DE DESARROLLO;0;2;1;2;4;3;Null
57;;IX;TEORÍA Y DISEÑO CURRICULAR;0;2;1;2;4;3;Null
58;;IX;EJECUCIÓN DEL PROYECTO DE INVESTIGACIÓN;0;3;1;2;5;4;Null
59;;X;GEOPOLÍTICA Y DEMOGRAFÍA;0;3;1;2;5;4;Null
60;;X;INVESTIGACIÓN DE HISTORIA Y GEOGRAFÍA;0;3;1;2;5;4;Null
61;;X;LEGISLACIÓN EDUCATIVA;0;3;1;2;5;4;Null
62;;X;PRACTICA DE INNOVACIÓN Y FORMACIÓN DOCENTE;0;0;3;6;6;3;Null
63;;X;INFORME DE INVESTIGACIÓN;0;3;1;2;5;4;Null
64;;X;ACREDITACIÓN Y CERTIFICACIÓN DE INSTITUCIONES EDUCATIVAS;0;2;2;4;6;4;Null
