N;CODIGO;CICLO;CURSO;ESP;HT;HP;HP*2;TH;CRD;REQUE;;
50;;VIII;GESTIÓN E INNOVACIO´N EDUCATIVA;0;2;1;2;4;3;Null;;
51;;VIII;TALLER DE COMUNICACIO´N ESCRITA Y PRODUCCIÓN EDITORIAL;0;4;1;2;6;5;Null;;
52;;IX;LINGU¨I´STICA DEL TEXTO;0;3;1;2;5;4;Null;;
53;;IX;LITERATURA REGIONAL;0;4;1;2;6;5;Null;;
54;;IX;PSICOLINGU¨I´STICA;0;2;1;2;4;3;Null;;
55;;IX;PRA´CTICA DE UNIDADES DIDA´CTICAS;0;3;1;2;5;4;Null;;
56;;IX;EJECUCIO´N DEL PROYECTO DE INVESTIGACIO´N;0;3;1;2;5;4;Null;;
57;;IX;GESTIÓN Y ACREDITACIÓN EDUCATIVA;0;3;1;2;5;4;Null;;
58;;X;ANA´LISIS DEL DISCURSO;0;3;1;2;5;4;Null;;
59;;X;SISTEMAS FILOSO´FICOS CONTEMPORA´NEOS;0;4;1;2;6;5;Null;;
60;;X;SISTEMAS PSICOLO´GICOS;0;3;1;2;5;4;Null;;
61;;X;INFORME DE INVESTIGACIO´N;0;3;1;2;5;4;Null;;
62;;X;LEGISLACIO´N EDUCATIVA;0;2;1;2;4;3;Null;;
63;;X;PRA´CTICA DE INNOVACIO´N Y ACREDITACIÓN;0;3;1;2;5;4;Null;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
